reason,dapp_sector,name,dapp_category,volume_per_user,robust_z,governance_type,token_type,users,volume,research_comments_excerpt,tx_per_user,tvl_to_mcap
high_volume_per_user (sector=collectibles),collectibles,ZetaHub,NFT marketplace,2.0331460367007628,92.79147232322185,TEAM_CONTROLLED,,428002,870190.57,"Early-stage Web3 community/engagement hub; no public DAO, token governance, or multisig structure identified; roadmap and upgrades appear fully team-driven.",,
high_volume_per_user (sector=collectibles),collectibles,Sweep,NFT marketplace,1.902548982309302,86.78778126960026,TEAM_CONTROLLED,UTILITY,5257,10001.7,NFT launcher; materials emphasize community but no binding governance—operator controls backend/policies,,
high_volume_per_user (sector=collectibles),collectibles,TON Station,NFT marketplace,11.577524890020838,531.5571259672415,TEAM_CONTROLLED,REWARD,4319,50003.33,Telegram game/store on TON with $SOON/MRSOON; no public governance—company sets policies,,
high_volume_per_user (sector=collectibles),collectibles,BOSS FIGHTERS,NFT marketplace,5.217670097916144,239.18756605940342,TEAM_CONTROLLED,REWARD,3983,20781.98,Web3 game with BFTOKEN; governance messaging exists but no binding DAO; studio controls economy,,
high_volume_per_user (sector=collectibles),collectibles,Phi Protocol,NFT marketplace,6.406833205226748,293.8547095254229,SNAPSHOT_OFFCHAIN,UTILITY,3903,25005.87,PHI token on Base used for governance/participation; team executes protocol changes → semi,,
high_volume_per_user (sector=collectibles),collectibles,HAiO,NFT marketplace,0.19713005701873473,8.387786781566778,TEAM_CONTROLLED,REWARD,3683,726.03,AI x music agent app; token exists; no credible DAO docs—execution centralized,,
high_volume_per_user (sector=collectibles),collectibles,Morkie,NFT marketplace,0.4352009536784741,19.33216924917935,TEAM_CONTROLLED,UTILITY,2936,1277.75,"NFT project/site; no DAO docs; platform, mints and rules operator-run",,
high_volume_per_user (sector=collectibles),collectibles,Hello Pixel,NFT marketplace,1.070726774082962,48.54799421618893,TEAM_CONTROLLED,REWARD,2917,3123.31,Telegram wallet/mini-app with PIXEL rewards; no DAO/governance over ops → centralized,,
high_volume_per_user (sector=collectibles),collectibles,Cambria: Duel Arena,NFT marketplace,3191.449096671949,146713.7707764237,TEAM_CONTROLLED,,2524,8055217.52,Ronin/Abstract PvP title; no governance docs; economy and rules run by studio,,
high_volume_per_user (sector=collectibles),collectibles,Puush.fun,NFT marketplace,757.742806722689,34833.60052147845,TEAM_CONTROLLED,UTILITY,2380,1803427.88,Fair-launch platform with operator-set rules; no binding token governance or DAO process disclosed,,
high_volume_per_user (sector=collectibles),collectibles,Thrive on Mars,NFT marketplace,0.3604039115646258,15.893666484559333,TEAM_CONTROLLED,REWARD,2352,847.67,NFT/game economy references Martia Token staking and rewards mechanics; no binding governance (DAO/timelock) evidenced—game economy and policies remain studio-operated despite on-chain assets.,,
high_volume_per_user (sector=collectibles),collectibles,Ebisu's Bay,NFT marketplace,433.3542181622783,19921.098274686465,SNAPSHOT_OFFCHAIN,UTILITY,1861,806472.2,Ebisu’s Bay runs gamified DAO elements (Fortune→Mitama) for community voting; marketplace ops by team,,
high_volume_per_user (sector=collectibles),collectibles,Micro3,NFT marketplace,0.15621720561317878,6.506977745664461,TEAM_CONTROLLED,UTILITY,1639,256.04,SocialFi mint-to-earn app; token present but no binding governance—team runs infra → semi,,
high_volume_per_user (sector=collectibles),collectibles,SpaceFi,DEX,108.74404682274248,4998.409622428684,SNAPSHOT_OFFCHAIN,UTILITY,1495,162572.35,"SPACE is governance/utility; proposals possible, execution by core team → semi",,
high_volume_per_user (sector=collectibles),collectibles,Roach Racing Club,NFT marketplace,15.109785561115082,693.9390563172306,SNAPSHOT_OFFCHAIN,REWARD,1399,21138.59,$RRC docs mention governance votes; studio still runs game economy/updates → semi,,
high_volume_per_user (sector=collectibles),collectibles,CorgiAI,NFT marketplace,29.148286163522016,1339.3044580536023,TEAM_CONTROLLED,SPECULATIVE,1272,37076.62,Meme/AI project with token used for “governance” per third-party notes; no credible binding DAO → semi,,
